ulid,intersect,altitude,radius,meta,collision_time,created_at,updated_at
01h2vz71kt7scf1q8fhr4brcyx,0x0000000001010000003555C52FF9325C40736500D8F1201DC0,57.59,2,"{""lla"": {""alt"": 57.5886108995065, ""lat"": -7.2821725607148995, ""lng"": 112.796459143355}, ""point_a"": {""alt"": 56.804461943113, ""lat"": -7.2821745828093, ""lng"": 112.79646070744}, ""point_b"": {""alt"": 58.3727598559, ""lat"": -7.2821705386205, ""lng"": 112.79645757927}, ""collision"": {""distance"": 1.6675848719613633, ""coordinates"": [{""x"": 263.4738102583736, ""y"": -699.4868959423046, ""z"": 56.80446194311261, ""ulid"": ""01h2vz6x323035sg39db20wp2y"", ""flight"": ""01h2vz6vmfm6pg5n506ztjbp9q""}, {""x"": 263.1287731460924, ""y"": -699.0371956497884, ""z"": 58.37275985590018, ""ulid"": ""01h2vz6yks00sf5nfhy2y69axw"", ""flight"": ""01h2vz6vr5ggndg6t08mg5scs7""}], ""middlePoint"": {""x"": 263.301291702233, ""y"": -699.2620457960466, ""z"": 57.58861089950639, ""ulid"": ""01h2vz6x323035sg39db20wp2y"", ""flight"": ""01h2vz6vmfm6pg5n506ztjbp9q""}}}",,2023-06-14 03:29:30,2023-06-14 03:29:30
01h2vz71m5aefj74qs7fzvr7ta,0x0000000001010000001630E360B5325C401153D4614D1B1DC0,52.58,2,"{""lla"": {""alt"": 52.5790110649025, ""lat"": -7.276662376961, ""lng"": 112.79232046305}, ""point_a"": {""alt"": 52.083333333403, ""lat"": -7.2766677690177, ""lng"": 112.79232485441}, ""point_b"": {""alt"": 53.074688796402, ""lat"": -7.2766569849043, ""lng"": 112.79231607169}, ""collision"": {""distance"": 1.8328040092064888, ""coordinates"": [{""x"": -192.7097043077716, ""y"": -87.1513513337717, ""z"": 52.083333333403154, ""ulid"": ""01h2vz6xz3yr20a1ghe99kgrn7"", ""flight"": ""01h2vz6vp3y71es5yz0fw2kk9c""}, {""x"": -193.6784363456757, ""y"": -85.95220867299919, ""z"": 53.07468879640167, ""ulid"": ""01h2vz6z9vqg32pmsx5w6jx6bw"", ""flight"": ""01h2vz6vskg1059j523fzkg709""}], ""middlePoint"": {""x"": -193.19407032672365, ""y"": -86.55178000338545, ""z"": 52.57901106490241, ""ulid"": ""01h2vz6xz3yr20a1ghe99kgrn7"", ""flight"": ""01h2vz6vp3y71es5yz0fw2kk9c""}}}",,2023-06-14 03:29:30,2023-06-14 03:29:30
01h2vz71mdmpffr5daww7vp2xm,0x000000000101000000731BC3C78C325C40718AFA704D1C1DC0,56.34,2,"{""lla"": {""alt"": 56.344293570384, ""lat"": -7.2776391652029, ""lng"": 112.789842548875}, ""point_a"": {""alt"": 55.987630203204, ""lat"": -7.2776372196655, ""lng"": 112.78984960846}, ""point_b"": {""alt"": 56.700956937564, ""lat"": -7.2776411107403, ""lng"": 112.78983548929}, ""collision"": {""distance"": 1.7667333486263237, ""coordinates"": [{""x"": -465.72868954574176, ""y"": -194.94981893349535, ""z"": 55.98763020320435, ""ulid"": ""01h2vz6y0zxbhhpbpzbrnrnhb8"", ""flight"": ""01h2vz6vpwkbzderf2zz0qgy86""}, {""x"": -467.28602966278, ""y"": -195.38248907928647, ""z"": 56.70095693756445, ""ulid"": ""01h2vz6z52hsd75xfp1jvmj5yg"", ""flight"": ""01h2vz6vskg1059j523fzkg709""}], ""middlePoint"": {""x"": -466.5073596042608, ""y"": -195.1661540063909, ""z"": 56.344293570384394, ""ulid"": ""01h2vz6y0zxbhhpbpzbrnrnhb8"", ""flight"": ""01h2vz6vpwkbzderf2zz0qgy86""}}}",,2023-06-14 03:29:30,2023-06-14 03:29:30
01h2vz71megcghhs46dkx47vja,0x000000000101000000DABC2179B5325C40B0B046DF561B1DC0,52.57,2,"{""lla"": {""alt"": 52.574958938358, ""lat"": -7.276698578538451, ""lng"": 112.792326243345}, ""point_a"": {""alt"": 52.213541666741, ""lat"": -7.2767051893388, ""lng"": 112.79232287737}, ""point_b"": {""alt"": 52.936376209975, ""lat"": -7.2766919677381, ""lng"": 112.79232960932}, ""collision"": {""distance"": 1.7986864547027297, ""coordinates"": [{""x"": -192.9277712964392, ""y"": -91.31231515782672, ""z"": 52.21354166674085, ""ulid"": ""01h2vz6xz4camsf1nvdbpy2hfg"", ""flight"": ""01h2vz6vp3y71es5yz0fw2kk9c""}, {""x"": -192.1852389695703, ""y"": -89.84213526101362, ""z"": 52.93637620997489, ""ulid"": ""01h2vz6z9tckkk56n1cfecmyy0"", ""flight"": ""01h2vz6vskg1059j523fzkg709""}], ""middlePoint"": {""x"": -192.55650513300475, ""y"": -90.57722520942016, ""z"": 52.57495893835787, ""ulid"": ""01h2vz6xz4camsf1nvdbpy2hfg"", ""flight"": ""01h2vz6vp3y71es5yz0fw2kk9c""}}}",,2023-06-14 03:29:30,2023-06-14 03:29:30
01h2vz71mpd61zttxw773qcr0a,0x000000000101000000B6B01521B1325C407384E0929F1A1DC0,55.76,2,"{""lla"": {""alt"": 55.759332838216, ""lat"": -7.2759993505034, ""lng"": 112.792061110665}, ""point_a"": {""alt"": 55.816037737922, ""lat"": -7.2760063899432, ""lng"": 112.79206336466}, ""point_b"": {""alt"": 55.70262793851, ""lat"": -7.2759923110636, ""lng"": 112.79205885667}, ""collision"": {""distance"": 1.646480822258472, ""coordinates"": [{""x"": -221.55195603861904, ""y"": -13.6091639782926, ""z"": 55.81603773792189, ""ulid"": ""01h2vz6yajcm0kgnm2j5rws7gc"", ""flight"": ""01h2vz6vq70ra5kt9eqg3tfrtf""}, {""x"": -222.0491864972211, ""y"": -12.043661124095014, ""z"": 55.702627938510446, ""ulid"": ""01h2vz6zafmp7ew66zrf0v1tnc"", ""flight"": ""01h2vz6vskg1059j523fzkg709""}], ""middlePoint"": {""x"": -221.80057126792008, ""y"": -12.826412551193808, ""z"": 55.75933283821617, ""ulid"": ""01h2vz6yajcm0kgnm2j5rws7gc"", ""flight"": ""01h2vz6vq70ra5kt9eqg3tfrtf""}}}",,2023-06-14 03:29:30,2023-06-14 03:29:30
01h2vz71myw5fm9h09g23j2dxg,0x00000000010100000098CD11C83F335C40B1C77D02711F1DC0,54.19,2,"{""lla"": {""alt"": 54.1891932256125, ""lat"": -7.28070453541475, ""lng"": 112.80076791514}, ""point_a"": {""alt"": 53.786549722527, ""lat"": -7.2807112191593, ""lng"": 112.80076571767}, ""point_b"": {""alt"": 54.591836728698, ""lat"": -7.2806978516702, ""lng"": 112.80077011261}, ""collision"": {""distance"": 1.758667037667298, ""coordinates"": [{""x"": 738.3153194492253, ""y"": -536.7660103868329, ""z"": 53.78654972252687, ""ulid"": ""01h2vz6ytkjyx4f2j18q6tvq99"", ""flight"": ""01h2vz6vs4egf8bqxmbpngka5a""}, {""x"": 738.8000794132715, ""y"": -535.279595113658, ""z"": 54.59183672869783, ""ulid"": ""01h2vz6yv9cps4px9nc9g0sxnf"", ""flight"": ""01h2vz6vsb8bmxp2931sgpgbep""}], ""middlePoint"": {""x"": 738.5576994312485, ""y"": -536.0228027502455, ""z"": 54.18919322561235, ""ulid"": ""01h2vz6ytkjyx4f2j18q6tvq99"", ""flight"": ""01h2vz6vs4egf8bqxmbpngka5a""}}}",,2023-06-14 03:29:30,2023-06-14 03:29:30
01h2vz71n2zv1dwkeeyaj3s0js,0x000000000101000000532EDE5D40335C4090F65C27731F1DC0,54.15,2,"{""lla"": {""alt"": 54.1488393649225, ""lat"": -7.28071271424205, ""lng"": 112.80080362985}, ""point_a"": {""alt"": 53.603801184954, ""lat"": -7.2807105651027, ""lng"": 112.80080348818}, ""point_b"": {""alt"": 54.693877544891, ""lat"": -7.2807148633814, ""lng"": 112.80080377152}, ""collision"": {""distance"": 1.1906644923595626, ""coordinates"": [{""x"": 742.4813962162252, ""y"": -536.6932817210557, ""z"": 53.603801184954136, ""ulid"": ""01h2vz6ytm83crqf2jn4fmw6fd"", ""flight"": ""01h2vz6vs4egf8bqxmbpngka5a""}, {""x"": 742.5126483788895, ""y"": -537.1712344019784, ""z"": 54.69387754489111, ""ulid"": ""01h2vz6yva3nqaanyrang2sfxj"", ""flight"": ""01h2vz6vsb8bmxp2931sgpgbep""}], ""middlePoint"": {""x"": 742.4970222975574, ""y"": -536.932258061517, ""z"": 54.14883936492262, ""ulid"": ""01h2vz6ytm83crqf2jn4fmw6fd"", ""flight"": ""01h2vz6vs4egf8bqxmbpngka5a""}}}",,2023-06-14 03:29:30,2023-06-14 03:29:30
